feature,importance
pm25,0.2886020191788535
aqi_roll_24h,0.11731234152138749
o3,0.09286800036225477
month,0.0884288406121396
day_of_week,0.05324742259112269
aqi_lag_24h,0.041827291934943396
temperature,0.038336240664489055
humidity,0.03825539836773267
pm10,0.03616224154040577
so2,0.03609358002088612
wind_deg,0.02929131896750605
aqi_roll_6h,0.02304861946924169
aqi_lag_6h,0.021695031905225516
aqi_lag_1h,0.021234899517155206
no2,0.020341532686231505
hour,0.018080529109099148
wind_speed,0.017973739730794375
co,0.017200951820531444
pressure,0.0
